iter	Passed	Remaining
649	29642	198374
650	29688	198331
651	29733	198286
652	29780	198246
653	29827	198211
654	29860	198080
655	29905	198033
656	29956	198023
657	30002	197976
658	30048	197934
659	30095	197902
660	30139	197847
661	30184	197792
662	30231	197760
663	30279	197731
664	30327	197697
665	30372	197651
666	30423	197636
667	30469	197593
668	30503	197473
669	30552	197450
670	30600	197423
671	30647	197381
672	30662	197141
673	30710	197113
674	30728	196889
675	30773	196838
676	30820	196803
677	30865	196758
678	30914	196732
679	30964	196717
680	31011	196680
681	31056	196629
682	31102	196587
683	31153	196575
684	31198	196530
685	31245	196490
686	31293	196461
687	31343	196444
688	31389	196398
689	31439	196384
690	31462	196194
691	31505	196138
692	31552	196099
693	31600	196068
694	31645	196020
695	31694	195996
696	31739	195946
697	31752	195703
698	31799	195662
699	31844	195618
700	31891	195577
701	31936	195530
702	31984	195498
703	32030	195459
704	32080	195442
705	32128	195411
706	32175	195373
707	32195	195173
708	32242	195136
709	32286	195081
710	32334	195052
711	32381	195013
712	32428	194982
713	32477	194956
714	32522	194906
715	32538	194687
716	32584	194645
717	32634	194624
718	32680	194584
719	32726	194540
720	32777	194529
721	32826	194501
722	32874	194475
723	32908	194362
724	32955	194321
725	33000	194273
726	33047	194242
727	33094	194202
728	33138	194151
729	33184	194105
730	33231	194070
731	33277	194030
732	33327	194011
733	33372	193959
734	33416	193909
735	33463	193867
736	33509	193829
737	33555	193785
738	33598	193727
739	33648	193706
740	33695	193668
741	33740	193619
742	33788	193589
743	33833	193542
744	33881	193512
745	33913	193389
746	33963	193367
747	34009	193327
748	34053	193273
749	34099	193233
750	34124	193070
751	34172	193036
752	34218	192996
753	34265	192961
754	34313	192925
755	34346	192811
756	34391	192767
757	34440	192741
758	34488	192706
759	34538	192690
760	34584	192644
761	34632	192612
762	34677	192568
763	34709	192448
764	34756	192408
765	34773	192206
766	34806	192092
767	34852	192050
768	34899	192012
769	34957	192037
770	35003	191997
771	35035	191880
772	35082	191841
773	35130	191808
774	35181	191794
775	35235	191797
776	35278	191741
777	35323	191689
778	35367	191636
779	35416	191610
780	35459	191555
781	35507	191524
782	35555	191492
783	35598	191431
784	35646	191399
785	35662	191197
786	35696	191093
787	35745	191066
788	35790	191018
789	35839	190993
790	35885	190953
791	35933	190919
792	35959	190771
793	36005	190730
794	36052	190691
795	36100	190659
796	36146	190618
797	36198	190609
798	36242	190556
799	36292	190537
800	36339	190496
801	36385	190455
802	36434	190429
803	36477	190372
804	36509	190259
805	36555	190215
806	36604	190190
807	36636	190075
808	36681	190025
809	36729	189995
810	36778	189970
811	36810	189853
812	36859	189829
813	36905	189784
814	36953	189756
815	37003	189732
816	37047	189681
817	37096	189656
818	37143	189619
819	37191	189586
820	37239	189556
821	37285	189509
822	37334	189486
823	37381	189446
824	37412	189331
825	37462	189310
826	37508	189268
827	37553	189217
828	37604	189201
829	37648	189151
830	37693	189101
831	37725	188991
832	37774	188963
833	37822	188931
834	37868	188889
835	37912	188838
836	37962	188815
837	38007	188768
838	38041	188667
839	38090	188637
840	38134	188587
841	38179	188538
842	38226	188502
843	38273	188464
844	38321	188433
845	38369	188399
846	38418	188374
847	38466	188339
848	38512	188300
849	38559	188260
850	38605	188217
851	38652	188182
852	38695	188124
853	38725	188006
854	38772	187969
855	38820	187936
856	38864	187882
857	38914	187862
858	38960	187816
859	39004	187765
860	39050	187724
861	39098	187688
862	39145	187654
863	39170	187512
864	39218	187477
865	39262	187426
866	39308	187385
867	39353	187334
868	39402	187307
869	39448	187267
870	39494	187223
871	39540	187182
872	39586	187138
873	39605	186972
874	39654	186942
875	39701	186903
876	39745	186852
877	39791	186811
878	39838	186772
879	39887	186744
880	39934	186707
881	39978	186657
882	40025	186621
883	40074	186589
884	40123	186562
885	40170	186523
886	40188	186351
887	40239	186335
888	40285	186290
889	40331	186248
890	40381	186225
891	40426	186181
892	40476	186156
893	40523	186119
894	40570	186082
895	40616	186040
896	40660	185988
897	40707	185948
898	40752	185903
899	40795	185847
900	40842	185806
901	40891	185778
902	40944	185767
903	40992	185734
904	41039	185697
905	41084	185652
906	41136	185637
907	41181	185588
908	41225	185537
909	41273	185501
910	41318	185458
911	41365	185421
912	41411	185374
913	41457	185335
914	41504	185294
915	41552	185263
916	41600	185230
917	41644	185177
918	41692	185144
919	41741	185113
920	41785	185065
921	41832	185025
922	41880	184991
923	41928	184955
924	41974	184913
925	42020	184872
926	42067	184833
927	42112	184787
928	42158	184746
929	42203	184698
930	42249	184655
931	42268	184495
932	42313	184448
933	42359	184405
934	42405	184361
935	42450	184316
936	42498	184281
937	42543	184235
938	42592	184204
939	42640	184170
940	42690	184147
941	42734	184094
942	42785	184073
943	42829	184023
944	42876	183982
945	42929	183972
946	42975	183925
947	43007	183826
948	43055	183790
949	43102	183752
950	43148	183712
951	43196	183676
952	43241	183627
953	43289	183595
954	43334	183548
955	43383	183516
956	43428	183471
957	43475	183430
958	43523	183397
959	43571	183364
960	43617	183322
961	43650	183222
962	43697	183183
963	43743	183143
964	43794	183118
965	43838	183069
966	43887	183038
967	43934	183000
968	43979	182953
969	44025	182909
970	44072	182872
971	44091	182717
972	44136	182668
973	44181	182624
974	44226	182574
975	44274	182540
976	44300	182417
977	44346	182374
978	44396	182345
979	44426	182240
980	44472	182194
981	44522	182169
982	44569	182130
983	44615	182089
984	44661	182046
985	44706	182000
986	44753	181961
987	44798	181915
988	44845	181877
989	44891	181834
990	44938	181795
991	44985	181755
992	45006	181611
