ÐòºÅ,Âö²«
1469,31
1470,32
1471,31
1472,32
1473,33
1474,35
1475,37
1476,42
1477,48
1478,59
1479,72
1480,88
1481,107
1482,127
1483,147
1484,166
1485,184
1486,199
1487,212
1488,223
1489,230
1490,234
1491,235
1492,233
1493,229
1494,225
1495,219
1496,212
1497,206
1498,200
1499,193
1500,188
1501,181
1502,176
1503,170
1504,165
1505,160
1506,155
1507,151
1508,147
1509,143
1510,140
1511,136
1512,134
1513,131
1514,129
1515,126
1516,125
1517,123
1518,121
1519,120
1520,119
1521,118
1522,116
1523,115
1524,113
1525,111
1526,109
1527,107
1528,104
1529,101
1530,98
1531,96
1532,93
1533,91
1534,89
1535,88
1536,87
1537,87
1538,87
1539,88
1540,88
1541,89
1542,91
1543,92
1544,94
1545,96
1546,97
1547,99
1548,100
1549,102
1550,103
1551,105
1552,106
1553,106
1554,107
1555,107
1556,106
1557,105
1558,104
1559,103
1560,101
1561,100
1562,98
1563,96
1564,94
1565,91
1566,90
1567,87
1568,85
1569,82
1570,80
1571,77
1572,75
1573,73
1574,70
1575,68
1576,66
1577,64
1578,63
1579,60
1580,59
1581,57
1582,55
1583,54
1584,53
1585,51
1586,50
1587,49
1588,48
1589,46
1590,46
1591,44
1592,44
1593,43
1594,42
1595,41
1596,40
1597,40
1598,39
1599,39
1600,38
1601,38
1602,38
1603,38
1604,38
1605,38
1606,38
1607,38
1608,38
1609,38
1610,38
1611,38
1612,38
1613,38
1614,38
1615,38
1616,38
1617,38
1618,38
1619,38
1620,37
1621,37
1622,37
1623,36
1624,36
1625,36
1626,35
1627,35
1628,35
1629,34
1630,34
1631,33
1632,33
1633,33
1634,33
1635,33
1636,33
1637,32
1638,32
1639,31
1640,31
1641,32
1642,32
1643,32
1644,33
1645,34
1646,36
1647,40
1648,45
1649,54
1650,66
1651,81
1652,100
1653,120
1654,142
1655,163
1656,183
1657,201
1658,216
1659,228
1660,237
1661,243
1662,246
1663,245
1664,242
1665,237
1666,232
1667,225
1668,219
1669,213
1670,206
1671,200
1672,194
1673,188
1674,183
1675,178
1676,174
1677,169
1678,164
1679,161
1680,157
1681,154
1682,151
1683,148
1684,145
1685,143
1686,141
1687,140
1688,138
1689,137
1690,136
1691,135
1692,134
1693,133
1694,133
1695,131
1696,130
1697,129
1698,127
1699,125
1700,123
1701,121
1702,118
1703,116
1704,113
1705,110
1706,108
1707,106
1708,104
1709,103
1710,102
1711,102
1712,102
1713,102
1714,102
1715,103
1716,104
1717,105
1718,106
1719,107
1720,108
1721,109
1722,110
1723,111
1724,111
1725,112
1726,112
1727,112
1728,111
1729,111
1730,110
1731,109
1732,108
1733,106
1734,105
1735,103
1736,101
1737,99
1738,97
1739,95
1740,93
1741,91
1742,89
1743,87
1744,85
1745,82
1746,80
1747,78
1748,76
1749,74
1750,72
1751,70
1752,69
1753,67
1754,66
1755,64
1756,62
1757,61
1758,59
1759,58
1760,57
1761,56
1762,55
1763,54
1764,53
1765,52
1766,51
1767,50
1768,49
1769,49
1770,48
1771,47
1772,46
1773,46
1774,45
1775,45
1776,45
1777,44
1778,44
1779,43
1780,43
1781,43
1782,42
1783,42
1784,42
1785,42
1786,41
1787,41
1788,41
1789,41
1790,40
1791,40
1792,40
1793,39
1794,39
1795,39
1796,39
1797,38
1798,38
1799,37
1800,37
1801,37
1802,36
1803,36
1804,35
1805,34
1806,34
1807,33
1808,32
1809,31
1810,31
1811,30
1812,30
1813,29
1814,29
1815,28
1816,29
1817,28
1818,29
1819,29
1820,30
1821,31
1822,34
1823,39
1824,46
1825,57
1826,70
1827,88
1828,107
1829,128
1830,149
1831,169
1832,187
1833,204
1834,217
1835,228
1836,235
1837,239
1838,239
1839,237
1840,233
1841,228
1842,222
1843,216
1844,210
1845,204
1846,197
1847,191
1848,186
1849,180
1850,176
1851,170
1852,166
1853,162
1854,158
1855,154
1856,150
1857,148
1858,144
1859,142
1860,139
1861,138
1862,135
1863,134
1864,133
1865,132
1866,131
1867,130
1868,129
1869,128
1870,127
1871,126
1872,124
1873,123
1874,121
1875,118
1876,116
1877,113
1878,111
1879,108
1880,105
1881,103
1882,101
1883,99
1884,98
1885,97
1886,97
1887,96
1888,97
1889,96
1890,98
1891,98
1892,99
1893,100
1894,101
1895,103
1896,104
1897,106
1898,107
1899,107
1900,108
1901,109
1902,109
1903,109
1904,108
1905,107
1906,106
1907,105
1908,103
1909,101
1910,100
1911,98
1912,96
1913,94
1914,92
1915,90
1916,88
1917,86
1918,84
1919,82
1920,80
1921,77
1922,76
1923,73
1924,72
1925,70
1926,68
1927,67
1928,64
1929,63
1930,61
1931,60
1932,59
1933,58
1934,56
1935,55
1936,54
1937,53
1938,52
1939,51
1940,50
1941,49
1942,48
1943,47
1944,46
1945,46
1946,45
1947,44
1948,43
1949,43
1950,42
1951,41
1952,41
1953,40
1954,40
1955,40
1956,39
1957,39
1958,39
1959,39
1960,39
1961,39
1962,39
1963,39
1964,39
1965,39
1966,38
1967,38
1968,38
1969,38
1970,38
1971,37
1972,37
1973,36
1974,36
1975,36
1976,35
1977,35
1978,33
1979,33
1980,32
1981,32
1982,31
1983,30
1984,29
1985,29
1986,28
1987,29
1988,28
1989,28
1990,28
1991,27
1992,28
1993,27
1994,29
1995,30
1996,32
1997,36
1998,41
1999,49
2000,61
2001,76
2002,94
2003,113
2004,134
2005,154
2006,173
2007,191
2008,205
2009,218
2010,227
2011,232
2012,236
2013,235
2014,233
2015,228
2016,223
2017,217
2018,210
2019,204
2020,197
2021,191
2022,185
2023,179
2024,173
2025,168
2026,163
2027,158
2028,154
2029,149
2030,146
2031,142
2032,139
2033,136
2034,133
2035,131
2036,129
2037,127
2038,125
2039,123
2040,122
2041,121
2042,120
2043,119
2044,118
2045,116
2046,115
2047,113
2048,111
2049,109
2050,106
2051,103
2052,101
2053,98
2054,96
2055,94
2056,93
2057,91
2058,92
2059,91
2060,92
2061,92
2062,93
2063,95
2064,96
2065,99
2066,100
2067,103
2068,104
2069,106
2070,108
2071,109
2072,111
2073,112
2074,112
2075,113
2076,113
2077,113
2078,112
2079,112
2080,110
2081,109
2082,107
2083,105
2084,102
2085,100
2086,98
2087,96
2088,93
2089,91
2090,88
2091,86
2092,83
2093,81
2094,78
2095,77
2096,74
2097,72
2098,71
2099,68
2100,67
2101,65
2102,63
2103,61
2104,60
2105,58
2106,58
2107,56
2108,56
2109,54
2110,53
2111,52
2112,51
2113,51
2114,50
2115,49
2116,49
2117,48
2118,47
2119,46
2120,46
2121,45
2122,45
2123,45
2124,44
2125,44
2126,44
2127,44
2128,43
2129,44
2130,43
2131,43
2132,43
2133,43
2134,42
2135,42
2136,41
2137,41
2138,40
2139,40
2140,40
2141,39
2142,39
2143,38
2144,37
2145,36
2146,36
2147,35
2148,34
2149,33
2150,33
2151,32
2152,32
2153,31
2154,31
2155,31
2156,31
2157,31
2158,33
2159,34
2160,38
2161,44
2162,52
2163,64
2164,78
2165,96
2166,114
2167,134
2168,153
2169,172
2170,188
2171,203
2172,214
2173,223
2174,229
2175,231
2176,231
2177,228
2178,224
2179,219
2180,213
2181,207
2182,201
2183,195
2184,190
2185,184
2186,179
2187,173
2188,169
2189,164
2190,159
2191,156
2192,151
2193,148
2194,144
2195,142
2196,138
2197,136
2198,134
2199,132
2200,130
2201,128
2202,127
2203,126
2204,125
2205,124
2206,123
2207,122
2208,120
2209,119
2210,117
2211,115
2212,113
2213,110
2214,108
2215,105
2216,102
2217,99
2218,97
2219,95
2220,94
2221,93
2222,92
2223,92
2224,92
2225,93
2226,94
2227,96
2228,96
2229,98
2230,99
2231,100
2232,102
2233,103
2234,105
2235,106
2236,107
2237,108
2238,109
2239,109
2240,109
2241,108
2242,108
2243,106
2244,105
2245,104
2246,102
2247,100
2248,98
2249,96
2250,94
2251,92
2252,90
2253,88
2254,85
2255,83
2256,81
2257,79
2258,77
2259,75
2260,73
2261,71
2262,69
2263,67
2264,65
2265,63
2266,62
2267,60
2268,58
2269,57
2270,55
2271,55
2272,53
2273,53
2274,52
2275,50
2276,50
2277,48
2278,48
2279,47
2280,46
2281,45
2282,44
2283,44
2284,43
2285,43
2286,42
2287,42
2288,41
2289,40
2290,40
2291,39
2292,39
2293,38
2294,38
2295,38
2296,38
2297,38
2298,38
2299,37
2300,38
2301,37
2302,37
2303,37
2304,37
2305,37
2306,37
2307,36
2308,36
2309,36
2310,35
2311,35
2312,35
2313,34
2314,34
2315,33
2316,32
2317,32
2318,31
2319,30
2320,30
2321,29
2322,29
2323,28
2324,27
2325,27
2326,27
2327,27
2328,27
2329,27
2330,28
2331,29
2332,31
2333,35
2334,41
2335,49
2336,62
2337,78
2338,96
2339,117
2340,138
2341,159
2342,179
2343,197
2344,211
2345,223
2346,232
2347,237
2348,239
2349,239
2350,236
2351,231
2352,226
2353,220
2354,213
2355,207
2356,201
2357,195
2358,190
2359,185
2360,180
2361,175
2362,170
2363,166
2364,162
2365,158
2366,155
2367,152
2368,149
2369,146
2370,144
2371,141
2372,140
2373,138
2374,137
2375,135
2376,135
2377,133
2378,133
2379,132
2380,131
2381,131
2382,129
2383,128
2384,127
2385,125
2386,122
2387,120
2388,117
2389,115
2390,112
2391,109
2392,107
2393,105
2394,103
2395,102
2396,101
2397,100
2398,100
2399,100
2400,100
2401,101
2402,102
2403,102
2404,103
2405,104
2406,105
2407,107
2408,108
2409,109
2410,110
2411,110
2412,110
2413,110
2414,109
2415,109
2416,108
2417,107
2418,106
2419,105
2420,103
2421,102
2422,100
2423,98
2424,97
2425,94
2426,92
2427,90
2428,88
2429,86
2430,84
2431,82
2432,80
2433,78
2434,76
2435,74
2436,72
2437,70
2438,69
2439,67
2440,66
2441,64
2442,63
2443,62
2444,61
2445,59
2446,58
2447,57
2448,56
2449,55
2450,54
2451,53
2452,52
2453,51
2454,50
2455,49
2456,48
2457,48
2458,47
2459,47
2460,46
2461,46
2462,45
2463,44
2464,44
2465,43
2466,42
2467,42
2468,41
2469,41
2470,41
2471,41
2472,40
2473,40
2474,39
2475,39
2476,38
2477,38
2478,38
2479,38
2480,38
2481,37
2482,37
2483,36
2484,36
2485,35
2486,34
2487,34
2488,33
2489,32
2490,31
2491,30
2492,30
2493,29
2494,28
2495,27
2496,27
2497,26
2498,25
2499,25
2500,24
2501,24
2502,24
2503,24
2504,24
2505,24
2506,25
2507,26
2508,27
2509,31
2510,35
2511,42
2512,53
2513,67
2514,84
2515,104
2516,125
2517,145
2518,165
2519,184
2520,199
2521,213
2522,223
2523,230
2524,234
2525,235
2526,233
2527,230
2528,224
2529,218
2530,212
2531,206
2532,200
2533,194
2534,188
2535,182
2536,177
2537,172
2538,167
2539,162
2540,158
2541,154
2542,150
2543,147
2544,144
2545,141
2546,138
2547,136
2548,134
2549,133
2550,131
2551,130
2552,128
2553,128
2554,127
2555,126
2556,126
2557,125
2558,124
2559,122
2560,121
2561,119
2562,117
2563,114
2564,112
2565,109
2566,107
2567,104
2568,102
2569,100
2570,98
2571,97
2572,96
2573,96
2574,96
2575,96
2576,97
2577,97
2578,99
2579,99
2580,101
2581,101
2582,103
2583,104
2584,106
2585,106
2586,107
2587,108
2588,108
2589,108
2590,108
2591,108
2592,107
2593,106
2594,104
2595,103
2596,101
2597,100
2598,98
2599,96
2600,94
2601,91
2602,90
2603,87
2604,85
2605,83
2606,81
2607,79
2608,77
2609,76
2610,74
2611,72
2612,70
2613,68
2614,67
2615,65
2616,64
2617,62
2618,60
2619,59
2620,58
2621,56
2622,55
2623,54
2624,53
2625,52
2626,51
2627,51
2628,50
2629,49
2630,48
2631,47
2632,46
2633,46
2634,45
2635,45
2636,44
2637,44
2638,43
2639,43
2640,43
2641,42
2642,42
2643,42
2644,41
2645,41
2646,40
2647,40
2648,40
2649,40
2650,39
2651,39
2652,39
2653,39
2654,38
2655,38
2656,38
2657,37
2658,37
2659,36
2660,36
2661,35
2662,34
2663,34
2664,33
2665,32
2666,32
2667,31
2668,30
2669,29
2670,28
2671,27
2672,27
2673,26
2674,27
2675,26
2676,27
2677,27
2678,28
2679,28
2680,31
2681,34
2682,39
2683,48
2684,59
2685,74
2686,92
2687,111
2688,131
2689,150
2690,169
2691,186
2692,200
2693,212
2694,221
2695,227
2696,230
2697,230
2698,228
2699,224
2700,219
2701,213
2702,207
2703,200
2704,194
2705,188
2706,182
2707,176
2708,171
2709,166
2710,160
2711,156
2712,151
2713,147
2714,143
2715,139
2716,136
2717,133
2718,130
2719,128
2720,126
2721,124
2722,122
2723,121
2724,119
2725,119
2726,117
2727,116
2728,115
2729,113
2730,112
2731,110
2732,108
2733,105
2734,103
2735,100
2736,97
2737,94
2738,92
2739,90
2740,88
2741,87
2742,87
2743,87
2744,87
2745,88
2746,90
2747,91
2748,94
2749,95
2750,97
2751,99
2752,101
2753,103
2754,105
2755,106
2756,108
2757,109
2758,109
2759,110
2760,110
2761,110
2762,109
2763,108
2764,107
2765,105
2766,103
2767,101
2768,99
2769,96
2770,94
2771,92
2772,89
2773,87
2774,85
2775,82
2776,80
2777,77
2778,75
2779,73
2780,70
2781,69
2782,66
2783,65
2784,63
2785,61
2786,59
2787,57
2788,56
2789,55
2790,53
2791,52
2792,51
2793,50
2794,49
2795,48
2796,47
2797,46
2798,45
2799,44
2800,43
2801,42
2802,42
2803,41
2804,40
2805,40
2806,39
2807,39
2808,38
2809,38
2810,37
2811,37
2812,37
2813,37
2814,37
2815,37
2816,36
2817,36
2818,36
2819,36
2820,36
2821,36
2822,36
2823,36
2824,35
2825,36
2826,35
2827,35
2828,34
2829,34
2830,34
2831,34
2832,33
2833,33
2834,32
2835,31
2836,31
2837,30
2838,30
2839,29
2840,30
2841,29
2842,30
2843,29
2844,30
2845,31
2846,33
2847,37
2848,43
2849,52
2850,63
2851,79
2852,97
2853,117
2854,138
2855,159
2856,177
2857,195
2858,209
2859,221
2860,230
2861,235
2862,238
2863,237
2864,235
2865,231
2866,225
2867,219
2868,213
2869,206
2870,200
2871,194
2872,188
2873,183
2874,177
2875,173
2876,167
2877,163
2878,159
2879,155
2880,151
2881,147
2882,145
2883,141
2884,139
2885,137
2886,134
2887,133
2888,131
2889,130
2890,129
2891,128
2892,127
2893,127
2894,125
2895,125
2896,124
2897,122
2898,121
2899,119
2900,116
2901,114
2902,111
2903,108
2904,105
2905,103
2906,101
2907,99
2908,97
2909,97
2910,96
2911,96
2912,96
2913,97
2914,97
2915,98
2916,99
2917,100
2918,102
2919,103
2920,105
2921,105
2922,107
2923,108
2924,108
2925,109
2926,109
2927,109
2928,108
2929,108
2930,107
2931,106
2932,105
2933,104
2934,101
2935,100
2936,98
2937,96
2938,94
2939,92
2940,89
2941,87
2942,85
2943,83
2944,81
2945,79
2946,76
2947,74
2948,72
2949,70
2950,69
2951,66
2952,65
2953,63
2954,61
2955,59
2956,58
2957,56
2958,55
2959,54
2960,53
2961,51
2962,51
2963,49
2964,48
2965,48
2966,46
2967,46
2968,45
2969,45
2970,43
2971,43
2972,42
2973,41
2974,41
2975,40
2976,40
2977,40
2978,39
2979,39
2980,38
2981,37
2982,38
2983,37
2984,37
2985,37
2986,37
2987,37
2988,37
2989,37
